HV_set (V),HV_rdb (V), HV_err (V),VsCH_13 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_13 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A)
37.5,37.3188,0.00165,3.93175e+01,3.93174e+01,3.93173e+01,3.93176e+01,2.18352e-08,2.26796e-08,2.51432e-08,2.03053e-08
37.5,37.3191,0.00085,3.93182e+01,3.93182e+01,3.93176e+01,3.93179e+01,1.54575e-08,1.51793e-08,2.46267e-08,2.05934e-08
37.5,37.3181,-0.00130,3.93172e+01,3.93171e+01,3.93172e+01,3.93172e+01,1.46329e-08,1.63515e-08,1.50502e-08,1.46528e-08
37.5,37.3194,0.00050,3.93181e+01,3.93184e+01,3.93180e+01,3.93183e+01,2.21034e-08,1.61926e-08,2.30074e-08,1.80701e-08
37.5,37.3184,-0.00065,3.93172e+01,3.93174e+01,3.93173e+01,3.93172e+01,2.04444e-08,1.63515e-08,1.87854e-08,2.06530e-08
37.5,37.3183,0.00000,3.93176e+01,3.93174e+01,3.93170e+01,3.93172e+01,1.09076e-08,1.44343e-08,2.15967e-08,1.84973e-08
37.5,37.3173,-0.00060,3.93161e+01,3.93164e+01,3.93162e+01,3.93162e+01,2.07126e-08,1.56363e-08,1.77523e-08,1.88649e-08
37.5,37.318,-0.00010,3.93167e+01,3.93170e+01,3.93167e+01,3.93170e+01,2.15967e-08,1.74940e-08,2.13981e-08,1.69377e-08
37.5,37.3179,0.00005,3.93168e+01,3.93166e+01,3.93167e+01,3.93167e+01,1.89344e-08,2.09709e-08,1.98185e-08,2.00768e-08
37.5,37.3185,-0.00070,3.93175e+01,3.93175e+01,3.93176e+01,3.93177e+01,1.64708e-08,1.69079e-08,1.58350e-08,1.28945e-08
