Ch 	 mean(nA) 	 sd(nA) 
1	23.371980000000004	3.169596075843103
2	24.551140000000004	4.2560443698606125
3	27.50556	3.1589676053349387
4	24.50049	4.13409992688184
5	21.334490000000006	3.382609974380401
6	21.46361	4.6003804278559395
7	22.12525	4.175096029567596
8	23.14349	3.6489824461226323
9	18.090999	6.148229273846884
10	20.965929999999997	3.634822341998146
11	20.593404	6.542415726366252
12	21.5302	3.35285518227873
13	17.691663	5.865357754401024
14	20.377840000000003	5.040673457033736
15	22.28917	3.300088044296866
16	23.52496	4.54407161700214
