HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A)
35.0,34.987,0.00585,3.69862e+01,3.69862e+01,3.69862e+01,3.69862e+01,1.37952e-08,1.38200e-08,1.30716e-08,1.34673e-08
35.5,35.4924,0.00360,3.74918e+01,3.74918e+01,3.74919e+01,3.74918e+01,1.05235e-08,9.58145e-09,7.96384e-09,9.17580e-09
36.0,35.9947,0.00225,3.79942e+01,3.79942e+01,3.79940e+01,3.79943e+01,9.11289e-09,7.51846e-09,1.21047e-08,6.72870e-09
36.5,36.4983,0.00335,3.84978e+01,3.84978e+01,3.84978e+01,3.84980e+01,7.55986e-09,8.55989e-09,7.67741e-09,5.27832e-09
37.0,37.0032,0.00355,3.90026e+01,3.90025e+01,3.90026e+01,3.90025e+01,9.51191e-09,1.15848e-08,1.06162e-08,1.16444e-08
37.5,37.5065,0.00220,3.95045e+01,3.95043e+01,3.95045e+01,3.95043e+01,3.34995e-08,3.61320e-08,3.34382e-08,3.68820e-08
38.0,38.0106,0.00240,4.00064e+01,4.00057e+01,4.00065e+01,4.00059e+01,6.92838e-08,8.19398e-08,6.91795e-08,7.79414e-08
38.5,38.5148,0.00340,4.05071e+01,4.05062e+01,4.05072e+01,4.05069e+01,1.27607e-07,1.42914e-07,1.25974e-07,1.32443e-07
39.0,39.018,0.00245,4.10060e+01,4.10045e+01,4.10062e+01,4.10054e+01,2.00743e-07,2.25036e-07,1.96271e-07,2.09683e-07
39.5,39.5218,0.00260,4.15042e+01,4.15021e+01,4.15044e+01,4.15035e+01,2.93677e-07,3.27672e-07,2.89293e-07,3.04894e-07
40.0,40.0239,0.00090,4.19990e+01,4.19957e+01,4.19995e+01,4.19988e+01,4.15262e-07,4.70693e-07,4.07404e-07,4.19206e-07
40.5,40.5205,-0.00230,4.24863e+01,4.24827e+01,4.24872e+01,4.24860e+01,5.70395e-07,6.30122e-07,5.54853e-07,5.74582e-07
41.0,41.0232,-0.00115,4.29775e+01,4.29719e+01,4.29779e+01,4.29770e+01,7.62276e-07,8.54623e-07,7.55924e-07,7.70986e-07
41.5,41.5279,0.00140,4.34668e+01,4.34599e+01,4.34670e+01,4.34664e+01,1.01857e-06,1.13291e-06,1.01472e-06,1.02553e-06
42.0,42.0319,0.00265,4.39502e+01,4.39404e+01,4.39509e+01,4.39501e+01,1.36240e-06,1.52576e-06,1.35114e-06,1.36450e-06
42.5,42.5341,0.00225,4.44262e+01,4.44115e+01,4.44243e+01,4.44260e+01,1.79939e-06,2.04335e-06,1.82993e-06,1.80244e-06
43.0,43.0381,0.00250,4.48917e+01,4.48726e+01,4.48897e+01,4.48920e+01,2.44105e-06,2.75915e-06,2.47419e-06,2.43626e-06
43.5,43.5386,-0.00090,4.53395e+01,4.53152e+01,4.53349e+01,4.53402e+01,3.31922e-06,3.72500e-06,3.39622e-06,3.30673e-06
44.0,44.0413,0.00195,4.57674e+01,4.57298e+01,4.57562e+01,4.57694e+01,4.56688e-06,5.19216e-06,4.75308e-06,4.53278e-06
44.5,44.5423,0.00075,4.61592e+01,4.61095e+01,4.61376e+01,4.61597e+01,6.38700e-06,7.21525e-06,6.74731e-06,6.37847e-06
45.0,45.0469,0.00305,4.65060e+01,4.64366e+01,4.64692e+01,4.65092e+01,9.01650e-06,1.01745e-05,9.63116e-06,8.96425e-06
