HV_set (V),HV_rdb (V), HV_err (V),VsCH_13 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_13 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A)
35.0,34.4557,0.00220,3.64550e+01,3.64555e+01,3.64552e+01,3.64552e+01,1.23680e-08,3.08454e-09,7.75357e-09,8.50691e-09
35.5,34.9579,0.00110,3.69579e+01,3.69578e+01,3.69575e+01,3.69577e+01,7.59959e-10,1.76827e-09,6.17239e-09,3.92066e-09
36.0,35.4584,0.00035,3.74583e+01,3.74583e+01,3.74582e+01,3.74582e+01,2.31961e-09,2.44545e-09,2.78983e-09,3.98358e-09
36.5,35.9598,0.00055,3.79597e+01,3.79597e+01,3.79597e+01,3.79596e+01,1.40236e-09,1.92059e-09,9.23872e-10,3.74681e-09
37.0,36.4604,0.00005,3.84602e+01,3.84603e+01,3.84603e+01,3.84601e+01,3.16236e-09,2.06133e-09,9.50363e-10,4.48194e-09
37.5,36.962,0.00130,3.89615e+01,3.89615e+01,3.89616e+01,3.89620e+01,8.94898e-09,8.32478e-09,6.95719e-09,7.28501e-10
38.0,37.4638,0.00135,3.94623e+01,3.94624e+01,3.94623e+01,3.94625e+01,2.48253e-08,2.35024e-08,2.57641e-08,2.14660e-08
38.5,37.9639,-0.00050,3.99609e+01,3.99605e+01,3.99602e+01,3.99606e+01,5.05083e-08,5.68016e-08,6.12736e-08,5.49191e-08
39.0,38.4648,0.00040,4.04592e+01,4.04591e+01,4.04582e+01,4.04590e+01,9.28127e-08,9.46323e-08,1.10631e-07,9.61307e-08
39.5,38.9671,0.00095,4.09584e+01,4.09581e+01,4.09570e+01,4.09578e+01,1.45599e-07,1.50356e-07,1.68908e-07,1.55649e-07
40.0,39.4689,0.00190,4.14562e+01,4.14560e+01,4.14541e+01,4.14553e+01,2.11979e-07,2.14724e-07,2.47488e-07,2.26638e-07
40.5,39.9686,0.00020,4.19504e+01,4.19500e+01,4.19478e+01,4.19499e+01,3.03831e-07,3.09366e-07,3.47071e-07,3.12542e-07
41.0,40.4713,0.00210,4.24462e+01,4.24456e+01,4.24430e+01,4.24456e+01,4.19194e-07,4.27966e-07,4.72190e-07,4.29114e-07
41.5,40.9727,0.00125,4.29392e+01,4.29380e+01,4.29338e+01,4.29373e+01,5.59239e-07,5.78478e-07,6.49315e-07,5.90805e-07
42.0,41.473,0.00115,4.34266e+01,4.34269e+01,4.34204e+01,4.34250e+01,7.73836e-07,7.68792e-07,8.77612e-07,8.00292e-07
42.5,41.9724,0.00020,4.39088e+01,4.39097e+01,4.39024e+01,4.39084e+01,1.06036e-06,1.04559e-06,1.16744e-06,1.06666e-06
43.0,42.4745,-0.00045,4.43886e+01,4.43899e+01,4.43798e+01,4.43892e+01,1.43219e-06,1.41007e-06,1.57873e-06,1.42241e-06
43.5,42.9744,-0.00090,4.48557e+01,4.48603e+01,4.48449e+01,4.48572e+01,1.97877e-06,1.90294e-06,2.15833e-06,1.95381e-06
44.0,43.4745,-0.00155,4.53067e+01,4.53151e+01,4.52966e+01,4.53143e+01,2.79748e-06,2.65810e-06,2.96598e-06,2.67080e-06
44.5,43.9762,0.00065,4.57377e+01,4.57545e+01,4.57219e+01,4.57442e+01,3.97663e-06,3.69671e-06,4.23959e-06,3.86739e-06
45.0,44.4757,-0.00145,4.61212e+01,4.61547e+01,4.61088e+01,4.61430e+01,5.90910e-06,5.35159e-06,6.11671e-06,5.54709e-06
