HV_set (V),HV_rdb (V), HV_err (V),VsCH_13 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_13 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A)
35.0,35.0041,0.00190,3.70036e+01,3.70041e+01,3.70039e+01,3.70044e+01,7.73867e-09,7.54992e-10,2.93056e-09,-4.46041e-09
35.0,35.0051,0.00050,3.70048e+01,3.70052e+01,3.70051e+01,3.70050e+01,4.49022e-09,-2.35438e-09,-6.65585e-10,1.20203e-09
35.0,35.0047,0.00025,3.70045e+01,3.70048e+01,3.70046e+01,3.70048e+01,3.54648e-09,-1.04308e-09,1.86761e-09,-1.31130e-09
35.0,35.005,0.00040,3.70050e+01,3.70054e+01,3.70054e+01,3.70051e+01,-1.09275e-10,-6.11941e-09,-7.04328e-09,-1.38084e-09
35.0,35.0049,0.00035,3.70049e+01,3.70050e+01,3.70051e+01,3.70045e+01,-3.17891e-10,-1.55965e-09,-2.78155e-09,7.40091e-09
35.0,35.0046,-0.00055,3.70050e+01,3.70055e+01,3.70046e+01,3.70048e+01,-6.19888e-09,-1.42952e-08,4.96705e-11,-2.97030e-09
35.0,35.0052,0.00000,3.70053e+01,3.70056e+01,3.70050e+01,3.70056e+01,-9.53674e-10,-6.88434e-09,3.38753e-09,-6.94394e-09
35.0,35.0047,-0.00055,3.70046e+01,3.70046e+01,3.70052e+01,3.70043e+01,1.95702e-09,2.04643e-09,-8.84136e-09,7.18236e-09
35.0,35.0045,-0.00020,3.70045e+01,3.70045e+01,3.70046e+01,3.70045e+01,4.86771e-10,-5.56310e-10,-1.37091e-09,-5.86112e-10
35.0,35.0047,-0.00005,3.70047e+01,3.70051e+01,3.70049e+01,3.70045e+01,-7.15256e-10,-6.36776e-09,-3.26832e-09,3.91404e-09
